phase (degrees), delay (ns), EO Modulated (V), Un Modulatoed/Reference (V)
577.166, 0.0398632478632497, 0.17337143680612957, 0.1724571510484176
577.166, 0.0398632478632497, 0.1747428654426975, 0.17074286525270768
577.166, 0.0398632478632497, 0.16925715089642576, 0.17142857957099164
577.166, 0.0398632478632497, 0.1724571510484176, 0.16914286517671176
577.166, 0.0398632478632497, 0.16994286521470972, 0.1704000080935657
577.188, 0.04061538461538421, 0.1685714365781418, 0.17165715101041965
577.188, 0.04061538461538421, 0.17165715101041965, 0.1724571510484176
577.188, 0.04061538461538421, 0.16925715089642576, 0.1702857223738517
577.188, 0.04061538461538421, 0.17154286529070564, 0.16994286521470972
577.188, 0.04061538461538421, 0.1704000080935657, 0.16891429373728378
577.21, 0.041367521367522614, 0.1725714367681316, 0.17154286529070564
577.21, 0.041367521367522614, 0.16937143661613976, 0.1725714367681316
577.21, 0.041367521367522614, 0.17188572244984762, 0.17314286536670156
577.21, 0.041367521367522614, 0.17120000813156366, 0.1709714366921357
577.21, 0.041367521367522614, 0.17188572244984762, 0.1704000080935657
577.232, 0.04211965811965713, 0.17360000824555755, 0.17131429385127767
577.232, 0.04211965811965713, 0.17280000820755959, 0.17200000816956162
577.232, 0.04211965811965713, 0.17268572248784558, 0.16982857949499572
577.232, 0.04211965811965713, 0.17268572248784558, 0.16800000797957182
577.232, 0.04211965811965713, 0.17371429396527155, 0.1704000080935657
577.254, 0.04287179487179553, 0.16994286521470972, 0.1749714368821255
577.254, 0.04287179487179553, 0.1745142940032695, 0.17120000813156366
577.254, 0.04287179487179553, 0.17337143680612957, 0.17188572244984762
577.254, 0.04287179487179553, 0.17280000820755959, 0.1704000080935657
577.254, 0.04287179487179553, 0.17371429396527155, 0.17131429385127767
577.276, 0.043623931623930044, 0.17337143680612957, 0.17120000813156366
577.276, 0.043623931623930044, 0.17394286540469953, 0.17085715097242168
577.276, 0.043623931623930044, 0.1765714369581214, 0.17017143665413773
577.276, 0.043623931623930044, 0.17417143684412753, 0.17131429385127767
577.276, 0.043623931623930044, 0.1729142939272736, 0.1722285796089896
577.298, 0.044376068376068445, 0.17417143684412753, 0.17120000813156366
577.298, 0.044376068376068445, 0.1768000083975494, 0.16914286517671176
577.298, 0.044376068376068445, 0.1729142939272736, 0.17302857964698756
577.298, 0.044376068376068445, 0.17382857968498552, 0.17062857953299368
577.298, 0.044376068376068445, 0.17314286536670156, 0.1709714366921357
577.32, 0.045128205128206846, 0.17348572252584354, 0.17017143665413773
577.32, 0.045128205128206846, 0.1763428655186934, 0.17211429388927563
577.32, 0.045128205128206846, 0.1748571511624115, 0.16971429377528174
577.32, 0.045128205128206846, 0.17337143680612957, 0.17062857953299368
577.32, 0.045128205128206846, 0.1764571512384074, 0.1724571510484176
577.342, 0.04588034188034135, 0.1742857225638415, 0.17154286529070564
577.342, 0.04588034188034135, 0.17382857968498552, 0.1704000080935657
577.342, 0.04588034188034135, 0.17531429404126747, 0.17188572244984762
577.342, 0.04588034188034135, 0.17760000843554735, 0.1722285796089896
577.342, 0.04588034188034135, 0.17588572263983743, 0.1702857223738517
577.364, 0.046632478632479754, 0.17382857968498552, 0.1722285796089896
577.364, 0.046632478632479754, 0.17337143680612957, 0.17280000820755959
577.364, 0.046632478632479754, 0.17200000816956162, 0.16982857949499572
577.364, 0.046632478632479754, 0.17200000816956162, 0.1702857223738517
577.364, 0.046632478632479754, 0.17371429396527155, 0.16982857949499572
577.386, 0.04738461538461427, 0.16960000805556774, 0.1723428653287036
577.386, 0.04738461538461427, 0.16960000805556774, 0.17200000816956162
577.386, 0.04738461538461427, 0.17382857968498552, 0.17005715093442372
577.386, 0.04738461538461427, 0.17108572241184966, 0.17165715101041965
577.386, 0.04738461538461427, 0.1702857223738517, 0.17188572244984762
577.408, 0.04813675213675267, 0.16742857938100184, 0.17154286529070564
577.408, 0.04813675213675267, 0.16994286521470972, 0.1723428653287036
577.408, 0.04813675213675267, 0.16914286517671176, 0.16880000801756978
577.408, 0.04813675213675267, 0.17062857953299368, 0.1705142938132797
577.408, 0.04813675213675267, 0.17177143673013365, 0.16960000805556774
577.43, 0.048888888888887184, 0.17360000824555755, 0.16982857949499572
577.43, 0.048888888888887184, 0.1704000080935657, 0.17074286525270768
577.43, 0.048888888888887184, 0.1685714365781418, 0.17131429385127767
577.43, 0.048888888888887184, 0.1684571508584278, 0.17017143665413773
577.43, 0.048888888888887184, 0.17074286525270768, 0.17211429388927563
577.452, 0.049641025641025585, 0.17154286529070564, 0.17154286529070564
577.452, 0.049641025641025585, 0.17211429388927563, 0.17120000813156366
577.452, 0.049641025641025585, 0.1705142938132797, 0.17337143680612957
577.452, 0.049641025641025585, 0.17268572248784558, 0.17348572252584354
577.452, 0.049641025641025585, 0.17314286536670156, 0.1744000082835555
577.474, 0.050393162393163986, 0.17017143665413773, 0.17142857957099164
577.474, 0.050393162393163986, 0.1724571510484176, 0.16937143661613976
577.474, 0.050393162393163986, 0.1709714366921357, 0.17074286525270768
577.474, 0.050393162393163986, 0.1722285796089896, 0.17074286525270768
577.474, 0.050393162393163986, 0.17142857957099164, 0.16982857949499572
577.496, 0.0511452991452985, 0.17531429404126747, 0.16891429373728378
577.496, 0.0511452991452985, 0.1722285796089896, 0.17165715101041965
577.496, 0.0511452991452985, 0.17188572244984762, 0.17188572244984762
577.496, 0.0511452991452985, 0.17417143684412753, 0.1747428654426975
577.496, 0.0511452991452985, 0.17165715101041965, 0.17268572248784558
577.518, 0.051897435897436894, 0.16788572225985782, 0.1709714366921357
577.518, 0.051897435897436894, 0.16617143646414792, 0.16902857945699776
577.518, 0.051897435897436894, 0.16902857945699776, 0.17005715093442372
